orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.685,0.904,0.793,0.439
0.791,0.901,0.647,0.446
0.808,0.92,0.62,0.399
0.893,0.859,0.462,0.53
0.611,0.952,0.882,0.311
0.588,0.914,0.908,0.415
0.827,0.921,0.588,0.397
0.783,0.938,0.659,0.352
0.211,0.95,1.257,0.315
0.129,0.806,1.319,0.622
0.532,0.992,0.967,0.13
0.819,0.848,0.602,0.552
0.745,0.895,0.715,0.459
0.588,0.877,0.908,0.495
0.531,0.921,0.968,0.397
0.527,0.988,0.973,0.153
0.496,0.846,1.004,0.555
0.712,0.951,0.759,0.312
0.846,0.921,0.554,0.397
0.78,0.972,0.663,0.237
