orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.906,0.897,0.433,0.454
0.974,0.983,0.226,0.182
0.967,0.983,0.255,0.186
0.923,0.94,0.392,0.347
0.825,0.879,0.592,0.491
0.903,0.999,0.441,0.052
0.388,0.377,1.106,1.116
0.774,1.0,0.672,0.027
0.979,0.999,0.203,0.039
0.97,0.999,0.244,0.047
0.959,0.997,0.288,0.075
0.883,0.917,0.483,0.408
0.96,0.996,0.284,0.084
0.64,0.691,0.849,0.787
0.824,0.786,0.593,0.655
0.951,0.992,0.312,0.124
0.901,0.994,0.446,0.112
0.897,0.903,0.454,0.44
0.378,0.38,1.115,1.114
0.855,0.876,0.538,0.498
