orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.788,0.965,0.651,0.264
0.913,0.966,0.417,0.26
0.945,0.978,0.332,0.209
0.943,0.909,0.339,0.426
0.802,0.89,0.629,0.469
0.784,0.962,0.657,0.277
0.942,0.973,0.342,0.233
0.866,0.971,0.518,0.242
0.388,0.968,1.107,0.253
0.241,0.914,1.232,0.415
0.637,0.997,0.852,0.082
0.926,0.924,0.385,0.389
0.9,0.941,0.447,0.342
0.771,0.928,0.677,0.379
0.699,0.964,0.775,0.27
0.65,0.987,0.836,0.158
0.74,0.952,0.721,0.309
0.867,0.89,0.515,0.469
0.94,0.966,0.346,0.262
0.924,0.992,0.391,0.13
