orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.749,0.755,0.708,0.7
0.598,0.598,0.896,0.896
0.827,0.907,0.588,0.432
0.741,0.681,0.719,0.799
0.957,0.991,0.293,0.136
0.688,0.8,0.79,0.633
0.841,0.999,0.564,0.047
0.958,0.998,0.291,0.068
0.934,0.943,0.363,0.338
0.649,0.651,0.838,0.836
0.643,0.639,0.845,0.849
0.858,0.861,0.533,0.528
0.633,0.635,0.857,0.855
0.951,0.997,0.314,0.078
0.944,0.983,0.336,0.182
0.933,0.998,0.366,0.07
0.843,0.998,0.561,0.07
0.965,0.994,0.266,0.112
0.813,0.833,0.612,0.578
0.903,0.918,0.441,0.406
