orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2
0.609,0.948,0.885,0.321
0.615,0.923,0.877,0.392
0.317,0.87,1.168,0.509
0.143,0.985,1.309,0.172
0.685,0.983,0.794,0.183
0.6,0.983,0.895,0.186
0.492,0.961,1.008,0.281
0.648,0.985,0.839,0.174
0.042,0.991,1.384,0.133
0.307,0.972,1.177,0.235
0.106,0.957,1.337,0.294
0.197,0.96,1.267,0.284
0.912,0.971,0.419,0.242
0.477,0.981,1.022,0.196
0.873,0.959,0.505,0.287
0.548,0.969,0.951,0.251
0.249,0.983,1.225,0.183
0.682,0.953,0.798,0.306
0.147,0.89,1.306,0.469
0.351,0.946,1.139,0.328
